OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
89,S/H8/26,BHCS,6,130.16814439,1083.291015625,141.150798462495
90,S/H8/26,BHCS,8,385.650131143,9657.84375,417.498599833002
91,S/H8/26,BHCS,6,133.669772849,1296.3828125,144.864547967458
92,S/H8/26,BHCS,8,455.529988954,8946.328125,493.543369812285
93,S/H8/26,BHCS,12,528.754857698,11296.50390625,573.436513303971
94,S/H8/26,BHCB,130,129.273150909,1202.974609375,140.097021762169
95,S/H8/26,BHCB,130,263.044776727,4509.205078125,284.720368533873
96,S/H8/26,BHCS,2,119.2146606,1085.431640625,129.103084718249
97,S/H8/26,BHCB,100,264.247748007,5112.115234375,286.248176292146
98,S/H8/26,BHCB,130,308.004301688,5378.240234375,333.718784608941
99,S/H8/26,BHCB,120,130.618436945,1257.59765625,141.491131685249
100,S/H8/26,BHCS,8,130.025651389,1212.322265625,140.906812904392
101,S/H8/26,BHCS,6,78.894737993,454.583984375,85.4570302724015
102,S/H8/26,BHCB,120,251.037103348,4160.478515625,271.708437807963
103,S/H8/26,BHCB,100,288.577293342,5309.087890625,312.476001123409
104,S/H8/26,BHCS,1,90.2673235587,546.94140625,97.8047069512047
105,S/H8/26,BHCB,110,279.860070587,4860.6953125,303.246098543809
106,S/H8/26,BHCS,2,311.980185357,5689.998046875,337.967144084937
107,S/H8/26,BHCB,120,87.49537058,525.35546875,94.8513632262103
108,S/H8/26,BHCB,110,196.867334535,2874.138671875,213.301508581812
109,S/H8/26,BHCB,120,336.011433203,7654.42578125,363.791761538021
110,S/H8/26,BHCB,110,152.13080466,1651.03125,164.885678350957
111,S/H8/26,BHCB,33,133.669772849,1296.3828125,144.864547967458
112,S/H8/26,BHCB,100,287.211741687,3493.2890625,311.598639615528
113,S/H8/26,BHCB,130,369.977887411,9935.40625,400.720418475262
114,S/H8/26,BHCS,12,321.207596531,5563.44140625,348.426699256617
115,S/H8/26,BHCB,100,226.996768554,2999.001953125,245.825464411425
116,S/H8/26,NBA,NBA,92.2880049289,423.654296875,100.144298149394
117,S/H8/26,NBA,NBA,221.861437843,1101.34375,239.811883719566
118,S/H8/26,NBA,NBA,214.156554168,1130.0625,231.545195717599
119,S/H8/26,NBA,NBA,103.389427575,404.17578125,112.232710078391
120,S/H8/26,NBA,NBA,102.195159445,401.533203125,110.934331005474
121,S/H8/26,BHCB,110,135.119814993,1441.8984375,146.421820866596
122,S/H8/26,BHCB,110,317.094198274,5288.671875,343.055556562146
123,S/H8/26,BHCB,120,188.015508744,2041.34375,203.790207591984
124,S/H8/26,BHCB,100,201.573101391,2964.166015625,218.237199329004
125,S/H8/26,BHCS,1,342.108629834,8024.55859375,370.550109105468
126,S/H8/26,BHCB,120,515.307665861,13087.146484375,557.426990167829
127,S/H8/26,BHCB,100,350.558809703,6961.0390625,379.312058263795
128,S/H8/26,BHCS,20,152.817006406,1585.728515625,165.685718099657
129,S/H8/26,BHCB,120,107.927052824,818.8515625,116.986647267886
130,S/H8/26,BHCB,110,300.697835699,5064.60546875,325.749508509912
131,S/H8/26,BHCS,1,40.2078098723,106.662109375,43.5602543839926
132,S/H8/26,BHCB,100,296.238386845,5295.796875,320.521268699148
133,S/H8/26,BHCB,210,428.061090806,10720.759765625,463.825271704968
134,S/H8/26,BHCS,12,597.542175224,14705.265625,647.387112488766
135,S/H8/26,BHCB,162,311.980185357,5689.998046875,337.967144084937
136,S/H8/26,BHCS,12,556.563326216,15764.201171875,602.899040399067
137,S/H8/26,BHCS,8,168.286830515,1785.43359375,182.335029392282
138,S/H8/26,BHCB,100,276.097784853,5001.240234375,298.827202810491
139,S/H8/26,BHCB,120,419.495406523,7854.169921875,454.687019744843
140,S/H8/26,BHCB,110,576.143785307,14915.931640625,623.659186891656
141,S/H8/26,BHCB,100,241.246206613,2498.728515625,260.989289878206
142,S/H8/26,BHCB,100,227.788325798,2171.462890625,246.302327690595
143,S/H8/26,BHCB,130,520.236771306,14531.57421875,563.199315155274
144,S/H8/26,BHCB,120,556.428930674,12456.2578125,603.021050331759
145,S/H8/26,BHCB,130,713.413957276,13310.03515625,773.878909122961
146,S/H8/26,BHCB,110,237.012675392,3502.552734375,256.821333455605
147,S/H8/26,BHCB,100,181.620454442,2359.57421875,196.861599976244
148,S/H8/26,BHCB,100,263.827919259,4684.978515625,285.558890621821
149,S/H8/26,BHCB,100,147.459493665,1542.259765625,159.836244452996
150,S/H8/26,BHCB,80,790.970514644,34353.24609375,855.829545834469
151,S/H8/26,BHCB,100,372.059538151,9363.615234375,402.787867424771
152,S/H8/26,BHCB,80,102.250203909,553,110.738662723463
153,S/H8/26,BHCB,120,108.592850621,734.70703125,117.62252406666
154,S/H8/26,BHCS,8,273.49317957,3528.9765625,295.968701669478
155,S/H8/26,BHCB,120,322.82083549,6991.76953125,349.49687475996
156,S/H8/26,BHCB,110,444.902569394,8911.451171875,482.269446915939
157,S/H8/26,BHCB,120,489.469083409,12262.35546875,530.434323879684
158,S/H8/26,BHCS,3,105.969244373,639.72265625,114.797286934478
159,S/H8/26,BHCS,6,280.244082021,2932.853515625,303.0535896047
160,S/H8/26,BHCB,100,273.866940083,5581.384765625,296.579673644535
161,S/H8/26,BHCS,1,461.897625913,12667.806640625,500.951558657024
162,S/H8/26,BHCB,110,132.942195864,1374.708984375,144.025249077465
163,S/H8/26,BHCB,110,487.798642881,10463.419921875,527.565242652853
164,S/H8/26,BHCB,100,266.861289591,4528.31640625,288.796911269319
165,S/H8/26,BHCS,8,642.381929977,19018.001953125,696.40430954386
166,S/H8/26,BHCB,120,285.789038323,5682.0703125,309.425461405915
167,S/H8/26,BHCB,100,131.057919332,922.34375,142.174322808821
168,S/H8/26,BHCB,100,350.164697511,4185.79296875,378.879466699527
169,S/H8/26,BHCB,130,539.992682802,9504.884765625,583.891114667196
170,S/H8/26,BHCS,2,391.52320039,9018.625,423.871982366422
171,S/H8/26,BHCB,120,252.69579224,3783.763671875,273.740900054237
172,S/H8/26,BHCB,100,549.907202093,20408.59765625,595.79279448527
173,S/H8/26,BHCS,2,310.57627604,2932.68359375,336.717301798286
174,S/H8/26,BHCS,8,508.627792835,13691.537109375,551.602896657633
175,S/H8/26,BHCS,6,430.343004582,11413.93359375,466.387527803211
176,S/H8/26,BHCS,1,114.085013951,556.55078125,123.807394719688
177,S/H8/26,BHCS,1,131.025994714,840.2578125,141.81658088464
178,S/H8/26,BHCS,3,108.578842829,864.62890625,117.622724033285
179,S/H8/26,BHCB,100,185.115835406,2508.638671875,200.562216851714
180,S/H8/26,BHCB,65,278.615584732,5529.25390625,301.636703945976
181,S/H8/26,BHCB,120,1436.1157883,30101.138671875,1557.259395585
182,S/H8/26,BHCB,130,574.271357643,10891.54296875,622.261113794699
183,S/H8/26,BHCS,6,158.7265826,1881.291015625,171.981923852742
184,S/H8/26,BHCS,3,162.060636188,1889.654296875,175.530539873123
185,S/H8/26,BHCS,8,190.962092367,2678.51953125,206.825006607303
186,S/H8/26,BHCB,120,297.596349792,3547.5,321.836139439809
187,S/H8/26,BHCB,130,156.785119617,1667.7265625,169.872492238542
188,S/H8/26,BHCB,100,214.901862225,3245.701171875,232.654759442601
189,S/H8/26,BHCS,17,204.942261084,2588.55078125,222.214712443426
190,S/H8/26,BHCB,120,172.656920777,2178.685546875,187.074314551054
